,Feature
YDR367W,3
YDR363W-A,3
YDR362C,3
YOL077C,3
YDR352W,3
YDR346C,3
YDR345C,3
YDR344C,3
YOL061W,3
YOL055C,3
YOL054W,3
YDR320C,3
YOL041C,3
YDR315C,3
YDR314C,3
YDL161W,3
YOR340C,3
YDL183C,3
YBR050C,3
YPL003W,3
YBR072C-A,3
YPR002W,3
YBR066C,3
YPR008W,3
YBR060C,3
YBR053C,3
YPR018W,3
YPR051W,3
YBR039W,3
YBR033W,3
YBR021W,3
YPR034W,3
YBR011C,3
YBR008C,3
YPR042C,3
YBR074W,3
YBR080C,3
YBR097W,3
YBR103W,3
YPL067C,3
YPL063W,3
YPL059W,3
YPL055C,3
YBR149W,3
YBR145W,3
YBR143C,3
YPL048W,3
YBR140C,3
YPL043W,3
YPL042C,3
YPL041C,3
YPL036W,3
YBR114W,3
YBR109C,3
YPR043W,3
YBL013W,3
YPL082C,3
YAL019W,3
YAR014C,3
YPR158W,3
YPR168W,3
YAL011W,3
YAL016W,3
YPR171W,3
YPR172W,3
YAL020C,3
YPR067W,3
YAL022C,3
YAL029C,3
YAL033W,3
YPR190C,3
YAL049C,3
YPR198W,3
YAL062W,3
YAR028W,3
YBL102W,3
YBL101C,3
YPR141C,3
YBL022C,3
YBL026W,3
YBL027W,3
YBL030C,3
YPR074C,3
YBL042C,3
YBL049W,3
YBL050W,3
YBL057C,3
YPR110C,3
YBL079W,3
YBL084C,3
YPR132W,3
YBL093C,3
YPR138C,3
YPL075W,3
YBR169C,3
YDL188C,3
YPL231W,3
YCR068W,3
YCR060W,3
YCR059C,3
YCR053W,3
YPL237W,3
YPL236C,3
YPL232W,3
YCR030C,3
YCL045C,3
YCR020C,3
YPL211W,3
YCL002C,3
YPL195W,3
YCL032W,3
YCL036W,3
YCL038C,3
YCR073W-A,3
YCR075C,3
YCR075W-A,3
YPL247C,3
YOR349W,3
YOR356W,3
YDL200C,3
YDL207W,3
YDL208W,3
YDL209C,3
YDL216C,3
YDL223C,3
YOR372C,3
YOR373W,3
YPL280W,3
YCR104W,3
YCR092C,3
YPL249C-A,3
YPL249C,3
YCL044C,3
YPL183W-A,3
YPL083C,3
YPL119C,3
YBR233W,3
YBR231C,3
YPL130W,3
YBR219C,3
YPL126W,3
YPL123C,3
YBR208C,3
YPL118W,3
YCL055W,3
YBR192W,3
YPL099C,3
YPL098C,3
YPL096C-A,3
YBR180W,3
YPL096W,3
YPL087W,3
YBR238C,3
YBR241C,3
YPL143W,3
YBR247C,3
YPL183C,3
YPL173W,3
YBR280C,3
YBR279W,3
YBR278W,3
YBR276C,3
YBR274W,3
YBR273C,3
YPL161C,3
YBR263W,3
YPL155C,3
YBR259W,3
YBR258C,3
YPL145C,3
YPL144W,3
YNR016C,3
YDR204W,3
YNL190W,3
YER169W,3
YNL232W,3
YER188W,3
YER019C-A,3
YMR298W,3
YER025W,3
YER183C,3
YNL223W,3
YGL222C,3
YER026C,3
YER029C,3
YNL091W,3
YER176W,3
YMR222C,3
YNL097C-B,3
YNL219C,3
YNL115C,3
YMR232W,3
YER057C,3
YGL119W,3
YER058W,3
YNL123W,3
YMR212C,3
YMR206W,3
YMR198W,3
YGL070C,3
YGL067W,3
YNL268W,3
YER013W,3
YFL033C,3
YMR312W,3
YGL068W,3
YNL069C,3
YNL246W,3
YER015W,3
YGL237C,3
YGL084C,3
YNL072W,3
YER146W,3
YNL243W,3
YFL052W,3
YMR304W,3
YFL054C,3
YGL231C,3
YMR197C,3
YNL236W,3
YER172C,3
YGL126W,3
YMR192W,3
YER069W,3
YMR255W,3
YNL155W,3
YNL158W,3
YNL159C,3
YGL172W,3
YER116C,3
YNL164C,3
YMR261C,3
YER119C,3
YGL179C,3
YMR268C,3
YER148W,3
YNL169C,3
YNL188W,3
YMR263W,3
YGL181W,3
YNL178W,3
YMR265C,3
YER135C,3
YER139C,3
YNL187W,3
YMR269W,3
YER100W,3
YER099C,3
YMR280C,3
YGL127C,3
YGL210W,3
YER074W,3
YNL132W,3
YGL207W,3
YGL205W,3
YER163C,3
YGL136C,3
YNL137C,3
YFR030W,3
YMR253C,3
YGL149W,3
YGL153W,3
YGL154C,3
YNL138W-A,3
YER093C-A,3
YMR251W,3
YGL159W,3
YNL193W,3
YER150W,3
YER009W,3
YNL245C,3
YER145C-A,3
YGL048C,3
YEL063C,3
YMR164C,3
YFR034C,3
YGL010W,3
YEL023C,3
YGL047W,3
YNL322C,3
YEL016C,3
YGL008C,3
YGL049C,3
YFR032C-A,3
YNL045W,3
YFR055W,3
YFR014C,3
YMR182W-A,3
YEL032W,3
YFR044C,3
YGL017W,3
YGL018C,3
YEL059C-A,3
YER004W,3
YNL312W,3
YFR039C,3
YNL029C,3
YNL024C-A,3
YNL311C,3
YEL059W,3
YGL023C,3
YNL022C,3
YGL025C,3
YNL020C,3
YNL048W,3
YEL055C,3
YEL007W,3
YNL334C,3
YFL007W,3
YFL016C,3
YMR313C,3
YGL063W,3
YFL021W,3
YNL299W,3
YDR536W,3
YGL064C,3
YEL072W,3
YFL022C,3
YMR317W,3
YFR032C,3
YNL059C,3
YNR012W,3
YFL025C,3
YFL004W,3
YNL282W,3
YNL280C,3
YGL258W-A,3
YDR524W-C,3
YMR148W,3
YNR013C,3
YGL006W,3
YGL255W,3
YLL022C,2
YPL107W,2
YNL310C,2
YPL113C,2
YMR279C,2
YMR271C,2
YPL239W,2
YLL019C,2
YPL105C,2
YPL233W,2
YMR073C,2
YKR069W,2
YNL309W,2
YPL225W,2
YLL018C,2
YMR070W,2
YMR074C,2
YLL002W,2
YKR070W,2
YNL306W,2
YKR071C,2
YPL104W,2
YKR068C,2
YPL092W,2
YLL017W,2
YLL049W,2
YPL224C,2
YPL180W,2
YLL034C,2
YKR098C,2
YPL139C,2
YMR059W,2
YLL036C,2
YMR056C,2
YMR052W,2
YMR038C,2
YPL152W,2
YNL328C,2
YPL174C,2
YPL221W,2
YPL169C,2
YMR315W,2
YMR041C,2
YPL158C,2
YMR310C,2
YMR044W,2
YMR043W,2
YMR042W,2
YLL050C,2
YLL048C,2
YMR292W,2
YPL137C,2
YPL191C,2
YLL029W,2
YPL119C-A,2
YMR066W,2
YMR033W,2
YPL120W,2
YPL125W,2
YKR077W,2
YPL218W,2
YLL025W,2
YPL210C,2
YPL208W,2
YPL196W,2
YMR036C,2
YPL128C,2
YPL193W,2
YMR061W,2
YPL134C,2
YMR287C,2
YKR092C,2
YKR093W,2
YKR094C,2
YMR288W,2
YPL202C,2
YMR091C,2
YPL084W,2
YPR093C,2
YKL059C,2
YKL058W,2
YPR124W,2
YPR120C,2
YMR183C,2
YPR117W,2
YMR187C,2
YPR116W,2
YMR188C,2
YPR109W,2
YPR102C,2
YPR094W,2
YKL049C,2
YKL046C,2
YMR190C,2
YPR137W,2
YMR191W,2
YKL040C,2
YKL039W,2
YPR084W,2
YPR083W,2
YPR082C,2
YPR079W,2
YKL032C,2
YKL029C,2
YPR073C,2
YPR070W,2
YMR115W,2
YKL026C,2
YKL023C-A,2
YPR133W-A,2
YMR123W,2
YMR264W,2
YMR128W,2
YPR200C,2
YMR153W,2
YPR195C,2
YPR191W,2
YMR155W,2
YPR189W,2
YPR188C,2
YKL090W,2
YPR182W,2
YKL087C,2
YPR176C,2
YPR173C,2
YMR135C,2
YMR165C,2
YPR169W,2
YMR181C,2
YPR164W,2
YKL078W,2
YPR162C,2
YKL075C,2
YPR159W,2
YMR125W,2
YKL070W,2
YMR176W,2
YPR157W,2
YKL069W,2
YMR178W,2
YPR152C,2
YPR144C,2
YPR143W,2
YPR069C,2
YMR193W,2
YPR066W,2
YKR043C,2
YKR028W,2
YMR236W,2
YPL005W,2
YPL010W,2
YPL013C,2
YPL016W,2
YMR237W,2
YKR032W,2
YKR034W,2
YPL018W,2
YKR038C,2
YPL021W,2
YPL024W,2
YPL029W,2
YMR252C,2
YPR063C,2
YMR089C,2
YKR046C,2
YKR048C,2
YKR049C,2
YMR087W,2
YPL051W,2
YMR254C,2
YMR258C,2
YPL074W,2
YKR060W,2
YPL076W,2
YKR062W,2
YPL077C,2
YPL080C,2
YMR235C,2
YPR006C,2
YMR224C,2
YMR100W,2
YKL015W,2
YPR060C,2
YKL012W,2
YPR058W,2
YMR113W,2
YKL008C,2
YPR055W,2
YPR054W,2
YPR049C,2
YMR214W,2
YPR030W,2
YMR215W,2
YKR009C,2
YPR028W,2
YPR027C,2
YMR107W,2
YPR021C,2
YPR020W,2
YMR218C,2
YKR016W,2
YMR219W,2
YPR015C,2
YKR019C,2
YPR014C,2
YKR021W,2
YMR223W,2
YPR011C,2
YKR022C,2
YKR023W,2
YLL001W,2
YLR422W,2
YPL241C,2
YOL025W,2
YOL027C,2
YLR292C,2
YLR289W,2
YLR288C,2
YLR287C-A,2
YLR287C,2
YLR284C,2
YOL029C,2
YLR283W,2
YML098W,2
YLR281C,2
YLR277C,2
YOL024W,2
YOL023W,2
YML099C,2
YML100W,2
YOR072W,2
YLR308W,2
YOL070C,2
YOL069W,2
YNL063W,2
YNL064C,2
YOL067C,2
YLR310C,2
YOL056W,2
YOL032W,2
YNL065W,2
YOL053W,2
YNL068C,2
YML106W,2
YLR299W,2
YNL070W,2
YOL021C,2
YOL018C,2
YLR271W,2
YNL124W,2
YOR030W,2
YOR033C,2
YNL117W,2
YOR038C,2
YLR247C,2
YOR042W,2
YNL125C,2
YOL013C,2
YOR045W,2
YNL130C,2
YOR062C,2
YOR067C,2
YOR069W,2
YLR242C,2
YML076C,2
YOR025W,2
YNL113W,2
YNL108C,2
YOR020C,2
YNL103W,2
YOR017W,2
YNL097C,2
YNL079C,2
YOR008C,2
YOR003W,2
YLR262C-A,2
YOL001W,2
YLR263W,2
YLR264W,2
YOL002C,2
YOL011W,2
YOL072W,2
YNL061W,2
YOL073C,2
YNR076W,2
YLR387C,2
YNL006W,2
YNR054C,2
YNR068C,2
YNR075C-A,2
YLR380W,2
YLR447C,2
YOL135C,2
YOL144W,2
YLR377C,2
YNL015W,2
YLR361C-A,2
YOL141W,2
YNL024C,2
YLR441C,2
YNL005C,2
YNR046W,2
YNR044W,2
YNR043W,2
YLR397C,2
YLR398C,2
YNR041C,2
YNR037C,2
YNR035C,2
YLR403W,2
YNL003C,2
YLR406C-A,2
YNL001W,2
YNR006W,2
YNR030W,2
YLR415C,2
YLR453C,2
YLR359W,2
YLR323C,2
YOL083W,2
YOL097C,2
YNL055C,2
YML112W,2
YLR344W,2
YOL087C,2
YML111W,2
YNL056W,2
YLR358C,2
YOL082W,2
YNL058C,2
YOL080C,2
YOL078W,2
YOL077W-A,2
YLR324W,2
YLR345W,2
YNL050C,2
YLR347C,2
YOL107W,2
YNL044W,2
YLR348C,2
YOL108C,2
YNL042W-B,2
YNL040W,2
YLR353W,2
YNL035C,2
YNL033W,2
YOL120C,2
YOL122C,2
YNL032W,2
YML131W,2
YLR357W,2
YOR071C,2
YOR075W,2
YNL304W,2
YOR358W,2
YOR338W,2
YOR341W,2
YOR342C,2
YOR354C,2
YLR055C,2
YOR357C,2
YLR052W,2
YNL256W,2
YOR359W,2
YLR050C,2
YOR360C,2
YMR009W,2
YLR418C,2
YNL278W,2
YNL267W,2
YOR326W,2
YNL135C,2
YLR095C,2
YNL220W,2
YOR292C,2
YML015C,2
YML014W,2
YOR298W,2
YNL227C,2
YNL229C,2
YOR323C,2
YOR312C,2
YLR089C,2
YLR084C,2
YOR316C-A,2
YML001W,2
YOR322C,2
YOR370C,2
YNL287W,2
YLR039C,2
YLR008C,2
YMR016C,2
YPL259C,2
YLR016C,2
YLR010C,2
YMR017W,2
YMR021C,2
YPL248C,2
YLR038C,2
YNL293W,2
YMR026C,2
YLR005W,2
YLR004C,2
YPL246C,2
YLR001C,2
YLR018C,2
YLR019W,2
YPL271W,2
YPL272C,2
YLR022C,2
YLR024C,2
YPL274W,2
YLR026C,2
YNL290W,2
YLR034C,2
YNL289W,2
YLR037C,2
YOR388C,2
YOR386W,2
YOR384W,2
YOR381W,2
YNL288W,2
YLR108C,2
YOR283W,2
YOR281C,2
YOR144C,2
YOR122C,2
YLR208W,2
YLR207W,2
YLR206W,2
YLR204W,2
YOR137C,2
YML051W,2
YNL176C,2
YNL165W,2
YNL166C,2
YLR194C,2
YOR147W,2
YOR153W,2
YLR190W,2
YLR209C,2
YML054C,2
YOR117W,2
YLR212C,2
YML057W,2
YOR115C,2
YNL146W,2
YLR215C,2
YNL145W,2
YOR109W,2
YML059C,2
YOR092W,2
YLR222C,2
YOR089C,2
YNL138W,2
YOR078W,2
YNL136W,2
YLR188W,2
YLR187W,2
YNL218W,2
YLR134W,2
YOR224C,2
YLR141W,2
YLR139C,2
YNL207W,2
YML026C,2
YLR135W,2
YNL212W,2
YLR186W,2
YOR241W,2
YML020W,2
YOR243C,2
YML019W,2
YOR261C,2
YOR266W,2
YOR223W,2
YOR215C,2
YLR147C,2
YNL197C,2
YNL191W,2
YML032C,2
YOR194C,2
YOR192C,2
YLR166C,2
YOR190W,2
YLR168C,2
YLR170C,2
YNL189W,2
YML035C,2
YML036W,2
YML037C,2
YNL180C,2
YLR049C,2
YJL069C,2
YDL155W,2
YDR277C,2
YHR207C,2
YCL050C,2
YHR200W,2
YHR199C,2
YDR152W,2
YCL039W,2
YGR133W,2
YCL027W,2
YCL026C-B,2
YHR189W,2
YFL056C,2
YDR301W,2
YDR300C,2
YCL011C,2
YHR176W,2
YHR175W-A,2
YDR156W,2
YER187W,2
YGL124C,2
YDR148C,2
YGR124W,2
YDL012C,2
YBR282W,2
YIL155C,2
YGR123C,2
YIL156W-B,2
YIL157C,2
YER173W,2
YER179W,2
YHR210C,2
YBR292C,2
YBR293W,2
YDR317W,2
YBR296C,2
YER181C,2
YER182W,2
YDR316W,2
YCL005W,2
YFL044C,2
YFL042C,2
YHR113W,2
YHR132W-A,2
YCR032W,2
YCR033W,2
YCR034W,2
YHR121W,2
YGL137W,2
YFL027C,2
YFL026W,2
YFL034W,2
YCR043C,2
YCR044C,2
YCR052W,2
YCR057C,2
YCR066W,2
YDR282C,2
YDR281C,2
YDR287W,2
YHR134W,2
YDR297W,2
YGR143W,2
YFL039C,2
YCL001W-B,2
YHR166C,2
YDL033C,2
YCR009C,2
YHR163W,2
YCR011C,2
YDR291W,2
YCR028C-A,2
YCR018C,2
YCR019W,2
YDR289C,2
YCR024C,2
YHR154W,2
YHR147C,2
YDR157W,2
YBR275C,2
YBR272C,2
YBR270C,2
YBR205W,2
YIL010W,2
YER120W,2
YER123W,2
YER127W,2
YIL018W,2
YBR202W,2
YER128W,2
YGR099W,2
YIL008W,2
YIL021W,2
YIL026C,2
YER132C,2
YIL029C,2
YBR214W,2
YIL036W,2
YDR341C,2
YDR135C,2
YIL005W,2
YIL042C,2
YER110C,2
YDR131C,2
YBR179C,2
YIR012W,2
YIR011C,2
YDR358W,2
YDR002W,2
YGR087C,2
YGL186C,2
YGR096W,2
YDR001C,2
YER113C,2
YIR003W,2
YGR094W,2
YDR132C,2
YIL002C,2
YDR350C,2
YGR100W,2
YIL043C,2
YDL010W,2
YER161C,2
YIL093C,2
YGR108W,2
YER158C,2
YIL115C,2
YIL116W,2
YIL121W,2
YDR324C,2
YGR109C,2
YDL008W,2
YGR112W,2
YIL138C,2
YBR262C,2
YGL116W,2
YDR144C,2
YBR268W,2
YIL144W,2
YDR331W,2
YIL088C,2
YER134C,2
YBR229C,2
YBR221W-A,2
YIL055C,2
YIL056W,2
YBR222C,2
YBR227C,2
YIL064W,2
YBR228W,2
YBR234C,2
YIL087C,2
YGR105W,2
YER147C,2
YBR250W,2
YGR106C,2
YIL079C,2
YIL083C,2
YER152C,2
YDR163W,2
YFL011W,2
YBR176W,2
YHR107C,2
YDL156W,2
YDR207C,2
YHL026C,2
YHL027W,2
YHL028W,2
YGL170C,2
YDL150W,2
YDR201W,2
YHL035C,2
YDL147W,2
YDR200C,2
YHL043W,2
YGR194C,2
YDL139C,2
YDL137W,2
YDL136W,2
YDL059C,2
YHL025W,2
YHL024W,2
YGL238W,2
YDL176W,2
YDL047W,2
YDL191W,2
YGR187C,2
YHR001W,2
YGL246C,2
YDL180W,2
YGL245W,2
YHL007C,2
YDL157C,2
YDR218C,2
YHL012W,2
YDL166C,2
YDL160C-A,2
YDL160C,2
YHL021C,2
YDL049C,2
YDL135C,2
YGR284C,2
YGL225W,2
YGR230W,2
YGR203W,2
YGR238C,2
YGR237C,2
YGR235C,2
YGR234W,2
YDL086W,2
YGL201C,2
YGL197W,2
YDL091C,2
YGR227C-A,2
YDL085W,2
YGR225W,2
YGL194C,2
YDL063C,2
YDR177W,2
YDR178W,2
YGL204C,2
YGR241C,2
YDL115C,2
YGL215W,2
YGR279C,2
YDR198C,2
YGL221C,2
YGR200C,2
YGR271W,2
YGR263C,2
YDR192C,2
YDR191W,2
YGR244C,2
YGL213C,2
YGL212W,2
YDR183W,2
YGR252W,2
YGR250C,2
YGL206C,2
YGR245C,2
YHR013C,2
YGL248W,2
YDR223W,2
YDR255C,2
YHR076W,2
YHR075C,2
YGL150C,2
YDR164C,2
YFR024C-A,2
YHR072W-A,2
YHR072W,2
YHR066W,2
YFR010W,2
YDR253C,2
YHR064C,2
YGL151W,2
YHR063C,2
YHR062C,2
YHR061C,2
YFR028C,2
YDR260C,2
YFR009W,2
YFR033C,2
YHR090C,2
YFL010C,2
YDR273W,2
YCR082W,2
YGR158C,2
YCR085W,2
YHR093W,2
YHR092C,2
YHR088W,2
YHR081W,2
YHR086W-A,2
YDR266C,2
YDR264C,2
YDL037C,2
YDR261C,2
YGR162W,2
YCR091W,2
YDR248C,2
YFR041C,2
YGR186W,2
YDL211C,2
YGL161C,2
YDR231C,2
YDR229W,2
YHR028C,2
YDL217C,2
YHR027C,2
YHR025W,2
YGR185C,2
YGL160W,2
YDR227W,2
YDL206W,2
YGL250W,2
YGL164C,2
YDL201W,2
YHR022C,2
YDL199C,2
YDR234W,2
YDL233W,2
YFR042W,2
YDL240W,2
YDR167W,2
YFR045W,2
YFR046C,2
YGR180C,2
YHR049W,2
YHR048W,2
YHR046C,2
YHR045W,2
YDL234C,2
YGR184C,2
YDR243C,2
YDR240C,2
YHR039C,2
YHR036W,2
YDL239C,2
YFR052W,2
YER101C,2
YBR184W,2
YBR175W,2
YBL078C,2
YBL071W-A,2
YJR096W,2
YBL071C,2
YJR094C,2
YGL005C,2
YDR073W,2
YJR085C,2
YJR084W,2
YJR083C,2
YEL036C,2
YBL069W,2
YJR076C,2
YBL067C,2
YJR073C,2
YBL066C,2
YGL002W,2
YEL030W,2
YGL077C,2
YJR105W,2
YJR147W,2
YJR106W,2
YDR471W,2
YBL091C,2
YJR143C,2
YBL090W,2
YGL019W,2
YEL053C,2
YEL052W,2
YEL051W,2
YGL012W,2
YGL065C,2
YJR125C,2
YGL009C,2
YJR120W,2
YDR080W,2
YBL085W,2
YDR079C-A,2
YGL075C,2
YBL058W,2
YJR069C,2
YDR072C,2
YBL054W,2
YBL020W,2
YGR012W,2
YEL015W,2
YGR013W,2
YBL017C,2
YJR005C-A,2
YEL011W,2
YEL009C-A,2
YEL006W,2
YEL003W,2
YEL002C,2
YBL008W,2
YJL012C,2
YIR016W,2
YER002W,2
YER003C,2
YJL024C,2
YEL018W,2
YBL024W,2
YDR063W,2
YDR458C,2
YJR066W,2
YJR060W,2
YEL028W,2
YGL082W,2
YDR067C,2
YJR057W,2
YJR054W,2
YBL039C,2
YDR110W,2
YDR457W,2
YGL083W,2
YEL020W-A,2
YJR025C,2
YJR024C,2
YEL019C,2
YBL029W,2
YGL061C,2
YJR149W,2
YGR016W,2
YAL044C,2
YAL042W,2
YAL039C,2
YAL037W,2
YKL154W,2
YKL155C,2
YAL036C,2
YAL034W-A,2
YKL162C,2
YDR520C,2
YKL164C,2
YKL168C,2
YKL172W,2
YKL173W,2
YDR092W,2
YDR522C,2
YKL176C,2
YKL180W,2
YKL144C,2
YDR494W,2
YEL060C,2
YAL047C,2
YKL106C-A,2
YAL060W,2
YKL107W,2
YDR097C,2
YAL056W,2
YKL112W,2
YGL041W-A,2
YDR514C,2
YKL119C,2
YDR093W,2
YKL127W,2
YKL128C,2
YKL135C,2
YAL053W,2
YKL138C,2
YKL138C-A,2
YAL048C,2
YAL031C,2
YGL056C,2
YAL024C,2
YDR530C,2
YDR107C,2
YGL029W,2
YAR035C-A,2
YAR042W,2
YAR050W,2
YKL217W,2
YKL218C,2
YGL059W,2
YBL107C,2
YGL020C,2
YJR161C,2
YEL067C,2
YEL064C,2
YBL098W,2
YDR108W,2
YJR151W-A,2
YBL095W,2
YDR085C,2
YKL213C,2
YDR086C,2
YAL008W,2
YAL017W,2
YAL010C,2
YKL189W,2
YAL009W,2
YDR091C,2
YKL192C,2
YKL193C,2
YKL198C,2
YAR007C,2
YDR533C,2
YAL007C,2
YDR104C,2
YDR492W,2
YDR541C,2
YGL034C,2
YKL210W,2
YER006W,2
YBL006C,2
YBR004C,2
YJL136W-A,2
YER056C,2
YDR392W,2
YGR062C,2
YJL184W,2
YJL185C,2
YER060W,2
YER064C,2
YER066W,2
YJL189W,2
YJL192C,2
YGR063C,2
YGL098W,2
YJL193W,2
YBR142W,2
YBR146W,2
YDR379W,2
YJL197W,2
YER054C,2
YBR131W,2
YBR130C,2
YBR115C,2
YJL138C,2
YJL146W,2
YBR105C,2
YDR023W,2
YJL151C,2
YBR107C,2
YGR018C,2
YER044C,2
YJL180C,2
YDR119W,2
YER047C,2
YBR127C,2
YDR400W,2
YJL177W,2
YER053C,2
YJL179W,2
YDR121W,2
YBR148W,2
YDR014W-A,2
YIR022W,2
YGL107C,2
YDR370C,2
YBR164C,2
YDR011W,2
YBR167C,2
YBR170C,2
YIR023W,2
YBR171W,2
YIR031C,2
YIR021W,2
YIR018C-A,2
YER095W,2
YGR078C,2
YBR172C,2
YBR173C,2
YDR127W,2
YGL105W,2
YIR032C,2
YJL203W,2
YDR376W,2
YJL204C,2
YER078C,2
YBR152W,2
YER078W-A,2
YJL209W,2
YBR154C,2
YBR155W,2
YBR157C,2
YDR372C,2
YIR043C,2
YGR072W,2
YIR039C,2
YDR012W,2
YIR038C,2
YGR075C,2
YIR034C,2
YBR104W,2
YBR108W,2
YDL065C,2
YDR051C,2
YBR059C,2
YER034W,2
YER041W,2
YDR450W,2
YJL090C,2
YBR062C,2
YJL049W,2
YBR055C,2
YDR424C,2
YDR058C,2
YJL097W,2
YJL042W,2
YJL098W,2
YJL041W,2
YDR446W,2
YBR046C,2
YDR045C,2
YJL073W,2
YBR034C,2
YER024W,2
YJL062W-A,2
YBR035C,2
YGL087C,2
YJL058C,2
YBR026C,2
YBR045C,2
YDR057W,2
YDR443C,2
YJL078C,2
YER028C,2
YDR428C,2
YER033C,2
YBR029C,2
YBR013C,2
YGR031C-A,2
YER038C,2
YBR005W,2
YBR096W,2
YJL136C,2
YDR408C,2
YDR409W,2
YJL133C-A,2
YJL133W,2
YJL132W,2
YER012W,2
YJL131C,2
YJL130C,2
YER040W,2
YGL093W,2
YJL105W,2
YER038W-A,2
YGR045C,2
YDR031W,2
YDR044W,2
YJL033W,2
YJL110C,2
YJL115W,2
YDR114C,2
YBR078W,2
YJL123C,2
YGL086W,2
YDR061W,2
YER037W,2
YOR072W-B,1
YOR073W,1
YOR111W,1
YDR175C,1
YDR162C,1
YDR176W,1
YDR160W,1
YDR145W,1
YOR129C,1
YOR103C,1
YDR146C,1
YDR116C,1
YOR118W,1
YDR120C,1
YDR115W,1
YDR172W,1
YOR076C,1
YDR153C,1
YOR093C,1
YOR104W,1
YOR090C,1
YOR079C,1
YOR105W,1
YDR109C,1
YDR173C,1
YOR081C,1
YOR084W,1
YDR139C,1
YDR124W,1
YOR126C,1
YDR140W,1
YOL045W,1
YDR179C,1
YDR422C,1
YDR410C,1
YOL118C,1
YDR411C,1
YOL121C,1
YDR418W,1
YOL123W,1
YDR419W,1
YOL130W,1
YDR361C,1
YDR434W,1
YDR436W,1
YDR438W,1
YDR439W,1
YDR453C,1
YDR456W,1
YOL146W,1
YOL113W,1
YDR407C,1
YDR406W,1
YDR405W,1
YDR363W,1
YDR366C,1
YDR369C,1
YDR371W,1
YOL086W-A,1
YOL088C,1
YOL089C,1
YDR374W-A,1
YOL095C,1
YDR377W,1
YDR378C,1
YOL102C,1
YDR383C,1
YOL104C,1
YDR398W,1
YOL147C,1
YOL148C,1
YOL149W,1
YDR470C,1
YNR049C,1
YDR483W,1
YDR485C,1
YNR045W,1
YDR486C,1
YDR488C,1
YDR489W,1
YDR490C,1
YNR036C,1
YDR493W,1
YNR034W-A,1
YNR034W,1
YDR497C,1
YDR498C,1
YNR031C,1
YDR473C,1
YNR056C,1
YOL151W,1
YNR057C,1
YOL152W,1
YOL153C,1
YOL154W,1
YOL159C-A,1
YOL161C,1
YDR462W,1
YDR463W,1
YDR465C,1
YNR069C,1
YDR468C,1
YNR066C,1
YNR064C,1
YNR061C,1
YNR060W,1
YNR058W,1
YOL081W,1
YDR357C,1
YDR179W-A,1
YOR010C,1
YDR237W,1
YOR020W-A,1
YDR245W,1
YOR018W,1
YDR249C,1
YOR015W,1
YDR254W,1
YOR008C-A,1
YDR354W,1
YDR259C,1
YOR006C,1
YDR262W,1
YDR267C,1
YOL007C,1
YOL015W,1
YDR286C,1
YDR232W,1
YDR228C,1
YOR032W-A,1
YDR226W,1
YOR065W,1
YOR064C,1
YDR180W,1
YDR181C,1
YDR182W,1
YDR195W,1
YOR051C,1
YOR048C,1
YOR047C,1
YDR206W,1
YDR216W,1
YOR039W,1
YDR217C,1
YDR219C,1
YOR034C-A,1
YOL019W,1
YDR288W,1
YOL022C,1
YDR323C,1
YOL057W,1
YDR332W,1
YDR333C,1
YOL060C,1
YDR334W,1
YDR335W,1
YDR338C,1
YDR339C,1
YOL068C,1
YDR347W,1
YDR348C,1
YDR349C,1
YDR353W,1
YOL075C,1
YOL076W,1
YDR326C,1
YDR321W,1
YDR292C,1
YDR320C-A,1
YDR295C,1
YDR299W,1
YDR303C,1
YOL030W,1
YDR306C,1
YDR307W,1
YOL036W,1
YOL038W,1
YDR318W,1
YOL042W,1
YOL043C,1
YOL044W,1
YDR100W,1
YDR319C,1
YOL049W,1
YOR134W,1
YKL101W,1
YDR099W,1
YPL009C,1
YBR147W,1
YPL052W,1
YBR150C,1
YPL058C,1
YBR153W,1
YPL064C,1
YBR156C,1
YPL068C,1
YPL069C,1
YPL071C,1
YBR158W,1
YBR160W,1
YBR162W-A,1
YBR163W,1
YBR165W,1
YPL085W,1
YPL086C,1
YPL089C,1
YPL093W,1
YBR177C,1
YBR181C,1
YBR141C,1
YBR139W,1
YPL046C,1
YBR125C,1
YBR084W,1
YBR087W,1
YBR088C,1
YBR091C,1
YBR095C,1
YBR102C,1
YBR106W,1
YPL026C,1
YBR122C,1
YPL030W,1
YPL045W,1
YPL031C,1
YPL033C,1
YPL034W,1
YBR128C,1
YPL039W,1
YPL040C,1
YBR135W,1
YBR136W,1
YBR137W,1
YBR182C,1
YBR182C-A,1
YBR183W,1
YPL159C,1
YPL148C,1
YPL149W,1
YBR252W,1
YBR256C,1
YBR257W,1
YPL152W-A,1
YBR260C,1
YBR261C,1
YPL157W,1
YBR267W,1
YBR248C,1
YPL162C,1
YBR281C,1
YBR283C,1
YBR284W,1
YBR288C,1
YPL172C,1
YBR289W,1
YBR291C,1
YBR295W,1
YBR251W,1
YBR246W,1
YPL100W,1
YPL116W,1
YBR185C,1
YBR188C,1
YBR193C,1
YBR194W,1
YPL108W,1
YPL109C,1
YBR196C-B,1
YBR198C,1
YBR199W,1
YBR204C,1
YBR243C,1
YBR207W,1
YBR210W,1
YBR213W,1
YBR215W,1
YBR216C,1
YBR217W,1
YPL129W,1
YPL132W,1
YPL138C,1
YBR082C,1
