,Feature
YGR136W,7
YKL051W,7
YDR380W,7
YJR089W,7
YOL066C,7
YMR302C,7
YHR140W,7
YGR034W,7
YMR182C,7
YNL014W,7
YLR276C,7
YLR448W,7
YNR014W,7
YHR139C-A,7
YPR149W,7
YKL068W-A,7
YMR097C,7
YGR074W,7
YBR031W,7
YPR033C,7
YJR154W,7
YMR203W,7
YKL006W,7
YDR274C,7
YPR048W,7
YPR038W,7
YGL198W,7
YBL043W,7
YLR256W,7
YNR028W,7
YKR050W,7
YPL002C,7
YMR217W,7
YMR278W,7
YGL191W,7
YGR098C,7
YOR002W,7
YOL058W,7
YMR169C,7
YAL025C,7
YBR058C-A,7
YOR040W,7
YMR244W,7
YKL086W,7
YMR131C,7
YLR355C,7
YMR243C,7
YPR184W,7
YOL127W,7
YDR222W,7
YOL117W,7
YGL163C,7
YKL081W,7
YLR389C,7
YKR074W,7
YGL030W,7
YGL148W,7
YHR196W,6
YPL270W,6
YDL197C,6
YGR217W,6
YBR056W,6
YHL015W,6
YIL045W,6
YKR001C,6
YKL005C,6
YBL001C,6
YJR113C,6
YGR169C-A,6
YDR074W,6
YDR342C,6
YDL214C,6
YMR241W,6
YOR149C,6
YOR344C,6
YBR047W,6
YNL217W,6
YLR048W,6
YDR079W,6
YDR078C,6
YER036C,6
YIL030C,6
YIL031W,6
YBR024W,6
YMR239C,6
YDR098C,6
YOR363C,6
YIL099W,6
YNL199C,6
YMR205C,6
YHL033C,6
YLR350W,6
YMR174C,6
YAL003W,6
YDL084W,6
YLR162W,6
YOR202W,6
YGL026C,6
YKL082C,6
YOR285W,6
YOL112W,6
YDL007W,6
YAL023C,6
YOR273C,6
YDL056W,6
YLR138W,6
YGL011C,6
YNL149C,6
YMR161W,6
YLR385C,6
YOR259C,6
YKL096W,6
YAL054C,6
YER080W,6
YHR112C,6
YOR186W,6
YML072C,6
YNL121C,6
YBL056W,6
YDL168W,6
YDL167C,6
YER156C,6
YLR060W,6
YKL208W,6
YGL080W,6
YHR167W,6
YLR064W,6
YOR324C,6
YGR248W,6
YDR373W,6
YJL190C,6
YDR388W,6
YBL059W,6
YDR052C,6
YJL191W,6
YBL059C-A,6
YDR049W,6
YBL068W,6
YDR487C,6
YPR125W,6
YDR384C,6
YGR037C,6
YKL063C,6
YHR155W,6
YNL315C,6
YEL039C,6
YLR220W,6
YMR285C,6
YFR021W,6
YBR161W,6
YJL070C,6
YJR064W,6
YOR007C,6
YPL066W,6
YKR059W,6
YPL061W,6
YNL269W,6
YEL012W,6
YMR007W,6
YOR101W,6
YCR020W-B,6
YDR137W,6
YNL305C,6
YJR016C,6
YNL030W,6
YDR189W,6
YOR027W,6
YPL201C,6
YNL071W,6
YLR255C,6
YOR021C,6
YBR187W,6
YBR195C,6
YMR023C,6
YJR034W,6
YMR012W,6
YPL101W,6
YLR225C,6
YHR010W,6
YLL033W,6
YGL228W,6
YFR013W,6
YGL227W,6
YPL112C,6
YMR291W,6
YGR129W,6
YMR286W,6
YHR004C,6
YJR030C,6
YKR042W,6
YPL189W,6
YGL188C-A,6
YFL041W,6
YBR265W,6
YER021W,6
YPL032C,6
YNL248C,6
YLR213C,6
YCR063W,6
YFR037C,6
YFR038W,6
YBR086C,6
YGR097W,6
YDR304C,6
YJL028W,6
YFL045C,6
YKR097W,6
YJL117W,6
YNL241C,6
YNL037C,6
YGR216C,6
YFR051C,6
YDR213W,6
YGR174W-A,6
YMR256C,6
YGR154C,6
YKR083C,6
YMR083W,6
YCR045C,6
YCR046C,6
YDR194C,5
YHR116W,5
YNL016W,5
YIL109C,5
YER067W,5
YHL036W,5
YDR481C,5
YOR028C,5
YHR008C,5
YHR018C,5
YDR026C,5
YDR441C,5
YHR100C,5
YHR019C,5
YDR169C-A,5
YDR190C,5
YDR461W,5
YLR386W,5
YDR403W,5
YLR381W,5
YML071C,5
YIL090W,5
YLR238W,5
YOR201C,5
YER062C,5
YOL125W,5
YML128C,5
YLR250W,5
YLR237W,5
YER065C,5
YDR194W-A,5
YLR236C,5
YDR479C,5
YOR046C,5
YDR004W,5
YDR435C,5
YDR308C,5
YLR224W,5
YHR007C-A,5
YNR008W,5
YOR163W,5
YER016W,5
YNR021W,5
YOL016C,5
YOL020W,5
YHL011C,5
YNR010W,5
YDR531W,5
YOL065C,5
YLR191W,5
YNR020C,5
YML081C-A,5
YOR152C,5
YLR304C,5
YIL053W,5
YNR015W,5
YLR211C,5
YDR118W,5
YLR295C,5
YER035W,5
YOR138C,5
YNL081C,5
YOL048C,5
YHR201C,5
YHR195W,5
YOR125C,5
YOL031C,5
YDR513W,5
YHL004W,5
YER055C,5
YDR511W,5
YDR042C,5
YEL056W,5
YDR381W,5
YOR083W,5
YLR346C,5
YOR086C,5
YOR016C,5
YNL112W,5
YLR296W,5
YIL009W,5
YDR059C,5
YLR340W,5
YHR041C,5
YDR506C,5
YDR356W,5
YDR064W,5
YLR259C,5
YDR508C,5
YER005W,5
YLR439W,5
YOR165W,5
YOL071W,5
YLR180W,5
YDR270W,5
YDR142C,5
YOR108W,5
YDR510W,5
YDR096W,5
YML017W,5
YCR022C,5
YFR011C,5
YPR085C,5
YNL261W,5
YCR020C-A,5
YPL220W,5
YMR284W,5
YBR159W,5
YBR162C,5
YBR056W-A,5
YGL209W,5
YPL213W,5
YPL207W,5
YNL277W,5
YCL009C,5
YCL017C,5
YKR066C,5
YGR201C,5
YFL005W,5
YKR067W,5
YGR052W,5
YGR057C,5
YJL052C-A,5
YPL012W,5
YJL077W-A,5
YPR086W,5
YPL243W,5
YGR221C,5
YLR021W,5
YJL126W,5
YMR283C,5
YPR103W,5
YPR098C,5
YPR010C,5
YGR211W,5
YJL101C,5
YCR065W,5
YPL222W,5
YCR061W,5
YMR118C,5
YJL093C,5
YNL255C,5
YMR002W,5
YPL229W,5
YCR028C,5
YPL060W,5
YCR024C-B,5
YJL052W,5
YLL045C,5
YJL137C,5
YCL058C,5
YNL142W,5
YJL020C,5
YGL120C,5
YNL314W,5
YGL121C,5
YBR237W,5
YBR236C,5
YKR096W,5
YPR025C,5
YFR049W,5
YNL321W,5
YMR047C,5
YGR157W,5
YGL252C,5
YGR152C,5
YGR149W,5
YMR096W,5
YBR209W,5
YJR019C,5
YBR036C,5
YKR072C,5
YPL147W,5
YPL151C,5
YBR191W,5
YKL019W,5
YMR194C-B,5
YFR016C,5
YKL197C,5
YBL041W,5
YPL177C,5
YNL295W,5
YKL035W,5
YBR048W,5
YMR296C,5
YBL014C,5
YBR006W,5
YPL170W,5
YLL046C,5
YMR300C,5
YJL043W,5
YPL166W,5
YMR303C,5
YMR216C,5
YJL036W,5
YPL164C,5
YBR201W,5
YPL276W,5
YBR126C,5
YPR181C,5
YMR145C,5
YOR293C-A,5
YOR294W,5
YMR082C,5
YDL087C,5
YJL210W,5
YMR080C,5
YOR301W,5
YBR121C,5
YOR303W,5
YPL028W,5
YNL173C,5
YMR090W,5
YLR094C,5
YML050W,5
YOR304C-A,5
YOR305W,5
YAL040C,5
YLR092W,5
YJL196C,5
YDL120W,5
YKL094W,5
YER121W,5
YKL106W,5
YLR113W,5
YOR242C,5
YOR255W,5
YPL014W,5
YGR091W,5
YOR267C,5
YOR272W,5
YPL015C,5
YER103W,5
YER109C,5
YDL066W,5
YOR293W,5
YAL058W,5
YNL160W,5
YPL022W,5
YLR109W,5
YDL072C,5
YML052W,5
YDL076C,5
YGR268C,5
YGR267C,5
YDL123W,5
YPL111W,5
YER145C,5
YKL150W,5
YJL158C,5
YGL037C,5
YML018C,5
YGL038C,5
YER175C,5
YER175W-A,5
YOR369C,5
YKL065W-A,5
YBR071W,5
YPL054W,5
YER177W,5
YGR033C,5
YKR055W,5
YER180C,5
YGR036C,5
YER180C-A,5
YDL236W,5
YJL144W,5
YPR005C,5
YPR127W,5
YMR281W,5
YDL131W,5
YML024W,5
YDL198C,5
YLR061W,5
YPR175W,5
YDL133W,5
YOR315W,5
YAL030W,5
YPR174C,5
YAL021C,5
YDL148C,5
YPL047W,5
YKL132C,5
YMR127C,5
YJL173C,5
YOR347C,5
YOR343C,5
YJR103W,5
YMR175W,5
YJR077C,5
YDL195W,5
YMR244C-A,4
YLR423C,4
YMR092C,4
YGR089W,4
YMR246W,4
YLR417W,4
YGL156W,4
YMR238W,4
YLR421C,4
YGL144C,4
YER087C-B,4
YGR083C,4
YMR137C,4
YGL050W,4
YLR390W-A,4
YLR390W,4
YGR030C,4
YDR482C,4
YMR175W-A,4
YMR173W,4
YMR129W,4
YGR017W,4
YNR052C,4
YGL054C,4
YMR138W,4
YMR140W,4
YHR094C,4
YGR008C,4
YGR002C,4
YGR003W,4
YDR461C-A,4
YGR004W,4
YDR460W,4
YGR038W,4
YMR185W,4
YDR519W,4
YMR200W,4
YGL122C,4
YDR517W,4
YMR229C,4
YMR104C,4
YGL108C,4
YGR067C,4
YGR066C,4
YGL096W,4
YMR202W,4
YDR505C,4
YHR080C,4
YLR413W,4
YLR412W,4
YNR032W,4
YGL066W,4
YHR073W,4
YLR405W,4
YMR117C,4
YHR078W,4
YNR038W,4
YMR088C,4
YGR161W-C,4
YDR525W-A,4
YML081W,4
YNL107W,4
YER166W,4
YER168C,4
YER171W,4
YGR232W,4
YNL099C,4
YHR105W,4
YML087C,4
YER178W,4
